"Churn","MonthlyCharge","Tenure","z_MonthlyCharge","z_Tenure"
"No",172.455519,6.795512947,-0.00394236166299573,-1.04869377389291
"Yes",149.948316,1.670971726,-0.528059299851802,-1.24248907260102
"Yes",114.950905,4.26425515,-1.34303110678202,-1.14441860851159
"No",174.958118,19.26726194,0.054334738578841,-0.577048368523458
"No",137.439154,13.01149229,-0.819355543403155,-0.813623448259924
"Yes",159.965581,10.06019902,-0.294790943013954,-0.925232807257973
"Yes",194.966286,15.78214958,0.520257570079816,-0.70884521856533
"No",152.490739,17.10995632,-0.468854832804484,-0.658631415473952
"Yes",149.944668,12.80615845,-0.528144249482838,-0.821388579057315
"No",184.978458,20.45390977,0.287674701807982,-0.532172786347673
"Yes",162.511928,5.770390256,-0.235495099225356,-1.08746094339107
"Yes",92.455141,4.157658837,-1.86688166919522,-1.14844977216667
"No",230.105118,11.08287797,1.33852259569721,-0.886558052962783
"No",147.489301,3.586184954,-0.585321475554413,-1.17006125836294
"Yes",267.664655,3.471329958,2.21315768617154,-1.17440474147646
"No",172.457857,9.179779682,-0.00388791751898214,-0.958527715277624
"No",192.456745,18.55959629,0.461818814043392,-0.603810232681213
"No",129.962093,13.98666226,-0.993471106228573,-0.77674534591334
"Yes",220.14775,15.72071086,1.10664903821522,-0.711168652914116
"No",164.964681,2.871017037,-0.178378744408038,-1.19710683651802
"No",127.488728,9.634946079,-1.05106744509055,-0.941314641157538
"Yes",200.132293,2.203859443,0.640556470458594,-1.22233680338506
"No",127.495766,9.677739656,-1.05090355377936,-0.939696312085754
"No",192.456745,19.45250317,0.461818814043392,-0.570043082010434
"No",195.006206,2.257358355,0.521187172401903,-1.22031362956627
"No",139.95684,2.358129018,-0.760727117754672,-1.21650277511221
"Yes",207.638588,3.721772616,0.815352794663869,-1.16493372590194
"Yes",187.609354,3.76663012,0.348939406987616,-1.16323734509201
"Yes",245.145743,4.672610857,1.68876808481667,-1.12897577903587
"Yes",194.976769,9.473091121,0.520501683835889,-0.947435526633971
"No",120.004928,4.171044392,-1.2253399365244,-1.14794356926621
"Yes",139.965008,6.085030507,-0.760536912550092,-1.07556216088577
"No",159.951231,2.730250735,-0.295125106173321,-1.20243021013678
"Yes",192.440432,2.887429547,0.461438939226753,-1.19648616295119
"No",182.460772,3.303030246,0.229046276159498,-1.18076934887309
"Yes",210.138,3.180102025,0.873555680411706,-1.18541813796093
"Yes",152.488401,7.006240694,-0.468909276948497,-1.04072466116364
"Yes",252.637807,19.95277818,1.8632330169717,-0.551124130865723
"Yes",182.467607,11.92299244,0.229205440284535,-0.854787358252499
"Yes",202.682861,16.00330155,0.699950607117971,-0.700481891930273
"No",159.951231,12.63074989,-0.295125106173321,-0.828022022484769
"Yes",149.959755,8.044444101,-0.527792924076191,-1.00146281689261
"No",119.95684,8.850426839,-1.22645974405107,-0.970982885377143
"No",194.999168,2.976033785,0.52102328109071,-1.19313540743386
"No",107.495766,8.08137067,-1.51663618007575,-1.00006636106155
"No",117.439154,1.408375942,-1.28508816969955,-1.25241968418265
"Yes",210.12704,3.226996711,0.873300458932495,-1.18364471683125
"No",169.944668,5.827112819,-0.0624116231864423,-1.0853158604332
"No",137.439154,4.525864256,-0.819355543403155,-1.13452531023266
"No",149.974105,1.416592892,-0.527458760916824,-1.25210894294532
"No",225.178625,19.83504645,1.22380116953117,-0.555576403722711
"No",199.990219,4.95598008,0.637248045601172,-1.11825957619006
"Yes",255.155493,10.28430068,1.92186144262019,-0.916757931894943
"No",134.950905,2.581692044,-0.877298480485624,-1.20804826932616
"No",127.473844,9.004964377,-1.05141404331104,-0.965138723520156
"Yes",220.114868,15.31997698,1.10588332720433,-0.726323246979789
"No",127.474951,7.873371451,-1.05138826501018,-1.00793228876879
"Yes",255.133571,25.8634566,1.9213509530885,-0.327599401417267
"Yes",194.966286,9.405224809,0.520257570079816,-0.950002033885851
"Yes",202.649979,1.213704886,0.699184896107077,-1.25978157938855
"No",142.500692,2.416685985,-0.701489374111205,-1.21428832031093
"Yes",225.145743,14.96503088,1.22303545852027,-0.739746279893037
"Yes",287.642733,11.45675389,2.67837982293625,-0.872419149113351
"Yes",177.65076,11.04076215,0.117037300095639,-0.888150751228882
"No",235.159141,23.103996,1.45621376595483,-0.431954204742648
"Yes",147.460067,5.104873611,-0.58600223693427,-1.11262885432219
"Yes",187.609354,11.58276897,0.348939406987616,-0.86765362396346
"No",117.439154,12.75609778,-1.28508816969955,-0.823281728527246
"No",127.488728,5.548652108,-1.05106744509055,-1.09584643757942
"No",114.997564,9.915959247,-1.3419445758515,-0.930687537484276
"Yes",172.484753,9.821728297,-0.00326160028313823,-0.934251078943942
"No",92.488023,7.661226872,-1.86611595818432,-1.0159549819785
"Yes",184.985293,14.6728104,0.287833865933019,-0.750797211628771
"No",132.479779,5.953547112,-0.934842680580089,-1.08053448186247
"Yes",107.495766,1.407866545,-1.51663618007575,-1.25243894810102
"No",169.967067,21.08265979,-0.0618900259316222,-0.508395282629037
"Yes",262.610632,12.21754865,2.09546651591392,-0.843648095976814
"No",202.636202,13.66061487,0.698864076187453,-0.789075513359182
"No",127.478341,8.701581043,-1.05130932333002,-0.976611802045636
"Yes",124.960655,6.485034974,-1.1099377489785,-1.06043515110601
"No",104.97808,7.69213424,-1.57526460572424,-1.01478615488637
"No",169.937833,9.475983046,-0.062570787311479,-0.947326162410902
"No",197.470195,9.001231999,0.578565175808675,-0.965279871240158
"No",114.950905,14.66914461,-1.34303110678202,-0.750935841183577
"No",129.977753,9.660361769,-0.993106437582183,-0.940353493413183
"No",127.488728,5.25445262,-1.05106744509055,-1.1069722096628
"Yes",139.987503,4.258552081,-0.760013079778666,-1.1446342820544
"Yes",197.516854,2.993625911,0.579651706739193,-1.19247012420829
"Yes",187.513939,5.988505209,0.346717513060712,-1.07921246793806
"Yes",232.637807,4.221959275,1.39750039067531,-1.14601811593602
"No",142.499263,9.797427154,-0.701522650707354,-0.935170077750573
"No",184.978458,1.379696124,0.287674701807982,-1.25350427178893
"No",160.00128,3.288124191,-0.293959633562646,-1.18133305267733
"No",127.481989,32.30772134,-1.05122437369898,-0.0838959836118498
"Yes",184.979684,3.778575882,0.287703251217974,-1.16278559099047
"No",194.958118,11.32083915,0.520067364875237,-0.877559050716483
"No",172.44408,5.254442453,-0.00420873743860585,-1.10697259414927
"Yes",200.132293,6.437878909,0.640556470458594,-1.06221845683202
"Yes",230.105118,7.218752772,1.33852259569721,-1.03268807020671
"Yes",184.978458,5.02568958,0.287674701807982,-1.11562336490934
"No",134.950905,2.644787483,-0.877298480485624,-1.20566218266576
"Yes",192.470522,3.508974199,0.462139633963016,-1.17298114537007
"No",169.944668,14.16961729,-0.0624116231864423,-0.769826516859198
"No",207.49737,10.27782059,0.812064303162853,-0.917002990120265
"No",127.478341,9.307770559,-1.05130932333002,-0.953687471210803
"Yes",182.467607,1.171557288,0.229205440284535,-1.26137547940652
"Yes",240.114868,16.48065356,1.57161595350072,-0.682429822217618
"No",169.992756,21.71097206,-0.0612918156597751,-0.484634333346857
"No",105.010962,13.44056701,-1.57449889471334,-0.797397085753609
"Yes",149.944668,14.58066686,-0.528144249482838,-0.754281813291286
"No",139.981577,13.82188875,-0.760151076355838,-0.782976602568819
"Yes",255.155493,7.176411327,1.92186144262019,-1.03428930095648
