"AreaSuburban","AreaUrban","Children","Age","MaritalMarried","MaritalNever Married","MaritalSeparated","MaritalWidowed","GenderMale","GenderNonbinary","ChurnYes","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","TechieYes","ContractOne year","ContractTwo Year","Port_modemYes","TabletYes","InternetServiceFiber Optic","InternetServiceNone","PhoneYes","MultipleYes","OnlineSecurityYes","OnlineBackupYes","DeviceProtectionYes","TechSupportYes","StreamingTVYes","StreamingMoviesYes","PaperlessBillingYes","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check","Tenure","MonthlyCharge","Bandwidth_GB_Year","TimelyResponse","TimelyFixes","TimelyReplacements","Reliability","Options","RespectfulResponse","CourteousExchange","ActiveListening"
1,0,0,79,0,0,0,1,1,0,1,11.18272453,10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5
1,0,2,49,0,0,1,0,0,1,0,5.739005915,20,2,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4
0,0,2,56,1,0,0,0,0,0,0,6.68082638,17,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4
0,1,0,63,1,0,0,0,0,0,1,13.52284721,13,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3
0,0,2,60,0,0,1,0,1,0,1,9.831166695,16,3,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,2.303331273,202.682861,882.0985933,2,2,4,3,3,4,3,3
1,0,3,30,0,0,0,0,1,0,0,6.984819996,18,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2.415991977,127.495766,594.1054279,5,5,4,4,3,4,3,5
0,1,3,20,0,0,1,0,0,0,1,13.43558029,13,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1.430386349,200.132293,1259.415493,3,4,3,3,2,4,4,2
1,0,1,52,0,1,0,0,1,0,1,13.80362698,11,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3
0,1,3,21,0,0,0,0,0,0,0,11.42906608,12,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,9.179779682,172.457857,1310.137419,5,2,3,3,3,5,4,4
1,0,4,41,0,0,0,0,1,0,1,12.54780492,11,1,2,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4
